 A JE                    137-131-8227     1969
 ASJN FOEYKC             469-078-0557     5196
 ATDFBLKXNQKU HSC        664-824-8767     6284
 ATDFBLKXNQKU HSC        664-824-8767     7488
 ATDFBLKXNQKU HSC        664-824-8767     3540
 ATDFBLKXNQKU HSC        664-824-8767      767
 ATDFBLKXNQKU HSC        664-824-8767     2118
 ATDFBLKXNQKU HSC        664-824-8767     5485
 ATDFBLKXNQKU HSC        664-824-8767     4955
 ATDFBLKXNQKU HSC        664-824-8767     1319
 ATDFBLKXNQKU HSC        664-824-8767     2575
 ATDFBLKXNQKU HSC        664-824-8767     6830
 ATDFBLKXNQKU HSC        664-824-8767     5690
 ATDFBLKXNQKU HSC        664-824-8767     7196
 ATDFBLKXNQKU HSC        664-824-8767     4410
 ATDFBLKXNQKU HSC        664-824-8767       72
 ATDFBLKXNQKU HSC        664-824-8767     3073
 ATDFBLKXNQKU HSC        664-824-8767     7715
 ATDFBLKXNQKU HSC        664-824-8767     3816
 AVJHRFBUF MGNJGGV       162-767-6467     1999
 AVNB CEIXAGO            998-348-9229     4313
 AVNB CEIXAGO            998-348-9229     6187
 AVNB CEIXAGO            998-348-9229      569
 AVNB CEIXAGO            998-348-9229     1816
 B D                     510-194-2757     5591
 B D                     510-194-2757     7821
 B D                     510-194-2757     1425
 B D                     510-194-2757     2224
 B D                     510-194-2757     3922
 B D                     510-194-2757     4516
 B D                     510-194-2757     5061
 B D                     510-194-2757      178
 B D                     510-194-2757     2681
 B D                     510-194-2757     3179
 B D                     510-194-2757      873
 B D                     510-194-2757     7302
 B D                     510-194-2757     6390
 B D                     510-194-2757     5796
 B D                     510-194-2757     7594
 B D                     510-194-2757     3646
 B D                     510-194-2757     6936
 B KXPOIDS               419-977-2059     1998
 B SAF                   975-898-6309     1704
 B SAF                   975-898-6309     2960
 B SAF                   975-898-6309     6075
 B SAF                   975-898-6309      457
 B SAF                   975-898-6309     6669
 B SAF                   975-898-6309     3458
 B SAF                   975-898-6309     5340
 B SAF                   975-898-6309     4201
 B SAF                   975-898-6309     2503
 B SAF                   975-898-6309     1152
 B SAF                   975-898-6309     4795
 B SVJ                   730-130-3177     4611
 B SVJ                   730-130-3177     1520
 B SVJ                   730-130-3177     7397
 B SVJ                   730-130-3177     7031
 B SVJ                   730-130-3177     3741
 B SVJ                   730-130-3177     5156
 B SVJ                   730-130-3177     3274
 B SVJ                   730-130-3177     7916
 B SVJ                   730-130-3177     5891
 B SVJ                   730-130-3177      968
 B SVJ                   730-130-3177     2776
 B SVJ                   730-130-3177     4017
 B SVJ                   730-130-3177     2319
 B SVJ                   730-130-3177     6485
 B SVJ                   730-130-3177      273
 B TAE                   758-045-8969     2032
 B UWBI                  927-860-8438     2013
 BATFRLRQMHYDRM BIGII    928-971-0644     4033
 BATFRLRQMHYDRM BIGII    928-971-0644     2335
 BATFRLRQMHYDRM BIGII    928-971-0644     5907
 BATFRLRQMHYDRM BIGII    928-971-0644     6501
 BATFRLRQMHYDRM BIGII    928-971-0644     7932
 BATFRLRQMHYDRM BIGII    928-971-0644     7047
 BATFRLRQMHYDRM BIGII    928-971-0644     1536
 BATFRLRQMHYDRM BIGII    928-971-0644      984
 BATFRLRQMHYDRM BIGII    928-971-0644     3290
 BATFRLRQMHYDRM BIGII    928-971-0644      289
 BATFRLRQMHYDRM BIGII    928-971-0644     4627
 BATFRLRQMHYDRM BIGII    928-971-0644     7413
 BATFRLRQMHYDRM BIGII    928-971-0644     2792
 BATFRLRQMHYDRM BIGII    928-971-0644     5172
 BCR OXUAG               596-288-1693     1994
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     6775
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     7433
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     5430
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     1264
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     3485
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     2520
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     2063
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     7141
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     4900
 BCURRSUSUWOPUL SDWOHAI  241-381-6084       17
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     3761
 BCURRSUSUWOPUL SDWOHAI  241-381-6084      712
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     4355
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     6229
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     3018
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     5635
 BCURRSUSUWOPUL SDWOHAI  241-381-6084     7660
 BDRFYJQCBNA YFGVYCGY    589-852-2662     2040
 BEMOUMFOI AMTGWW        156-207-5275     3052
 BEMOUMFOI AMTGWW        156-207-5275     4934
 BEMOUMFOI AMTGWW        156-207-5275       51
 BEMOUMFOI AMTGWW        156-207-5275     5464
 BEMOUMFOI AMTGWW        156-207-5275     2554
 BEMOUMFOI AMTGWW        156-207-5275     2097
 BEMOUMFOI AMTGWW        156-207-5275     4389
 BEMOUMFOI AMTGWW        156-207-5275     5669
 BEMOUMFOI AMTGWW        156-207-5275     7175
 BEMOUMFOI AMTGWW        156-207-5275      746
 BEMOUMFOI AMTGWW        156-207-5275     3795
 BEMOUMFOI AMTGWW        156-207-5275     7467
 BEMOUMFOI AMTGWW        156-207-5275     1298
 BEMOUMFOI AMTGWW        156-207-5275     6263
 BEMOUMFOI AMTGWW        156-207-5275     3519
 BEMOUMFOI AMTGWW        156-207-5275     6809
 BEMOUMFOI AMTGWW        156-207-5275     7694
 BEYMLHEHI MRQTPF        440-750-2618     6789
 BEYMLHEHI MRQTPF        440-750-2618     1278
 BEYMLHEHI MRQTPF        440-750-2618       31
 BEYMLHEHI MRQTPF        440-750-2618      726
 BEYMLHEHI MRQTPF        440-750-2618     5444
 BEYMLHEHI MRQTPF        440-750-2618     3032
 BEYMLHEHI MRQTPF        440-750-2618     4369
 BEYMLHEHI MRQTPF        440-750-2618     2077
 BEYMLHEHI MRQTPF        440-750-2618     7447
 BEYMLHEHI MRQTPF        440-750-2618     6243
 BEYMLHEHI MRQTPF        440-750-2618     5649
 BEYMLHEHI MRQTPF        440-750-2618     3499
 BEYMLHEHI MRQTPF        440-750-2618     7674
 BEYMLHEHI MRQTPF        440-750-2618     2534
 BEYMLHEHI MRQTPF        440-750-2618     3775
 BEYMLHEHI MRQTPF        440-750-2618     4914
 BEYMLHEHI MRQTPF        440-750-2618     7155
 BFSJPJEUCUP HWAHXJP     530-669-2888     4521
 BFSJPJEUCUP HWAHXJP     530-669-2888     5801
 BFSJPJEUCUP HWAHXJP     530-669-2888     7307
 BFSJPJEUCUP HWAHXJP     530-669-2888     7826
 BFSJPJEUCUP HWAHXJP     530-669-2888     1430
 BFSJPJEUCUP HWAHXJP     530-669-2888     2686
 BFSJPJEUCUP HWAHXJP     530-669-2888     2229
 BFSJPJEUCUP HWAHXJP     530-669-2888     6941
 BFSJPJEUCUP HWAHXJP     530-669-2888      183
 BFSJPJEUCUP HWAHXJP     530-669-2888      878
 BFSJPJEUCUP HWAHXJP     530-669-2888     5066
 BFSJPJEUCUP HWAHXJP     530-669-2888     5596
 BFSJPJEUCUP HWAHXJP     530-669-2888     3184
 BFSJPJEUCUP HWAHXJP     530-669-2888     6395
 BFSJPJEUCUP HWAHXJP     530-669-2888     3651
 BFSJPJEUCUP HWAHXJP     530-669-2888     3927
 BFSJPJEUCUP HWAHXJP     530-669-2888     7599
 BFYT IXLSBCXH           387-222-3086     5026
 BFYT IXLSBCXH           387-222-3086     6355
 BFYT IXLSBCXH           387-222-3086      143
 BFYT IXLSBCXH           387-222-3086     1390
 BFYT IXLSBCXH           387-222-3086     2646
 BFYT IXLSBCXH           387-222-3086     5761
 BFYT IXLSBCXH           387-222-3086     3144
 BFYT IXLSBCXH           387-222-3086     7559
 BFYT IXLSBCXH           387-222-3086     3887
 BFYT IXLSBCXH           387-222-3086      838
 BFYT IXLSBCXH           387-222-3086     7786
 BFYT IXLSBCXH           387-222-3086     6901
 BFYT IXLSBCXH           387-222-3086     5556
 BFYT IXLSBCXH           387-222-3086     4481
 BFYT IXLSBCXH           387-222-3086     2189
 BFYT IXLSBCXH           387-222-3086     7267
 BFYT IXLSBCXH           387-222-3086     3611
 BHCJNCKHMLS PGURHV      231-687-5897     7268
 BHCJNCKHMLS PGURHV      231-687-5897     2647
 BHCJNCKHMLS PGURHV      231-687-5897     5762
 BHCJNCKHMLS PGURHV      231-687-5897     3145
 BHCJNCKHMLS PGURHV      231-687-5897     6356
 BHCJNCKHMLS PGURHV      231-687-5897     5027
 BHCJNCKHMLS PGURHV      231-687-5897      144
 BHCJNCKHMLS PGURHV      231-687-5897     7560
 BHCJNCKHMLS PGURHV      231-687-5897     7787
 BHCJNCKHMLS PGURHV      231-687-5897     3612
 BHCJNCKHMLS PGURHV      231-687-5897     3888
 BHCJNCKHMLS PGURHV      231-687-5897      839
 BHCJNCKHMLS PGURHV      231-687-5897     2190
 BHCJNCKHMLS PGURHV      231-687-5897     4482
 BHCJNCKHMLS PGURHV      231-687-5897     1391
 BHCJNCKHMLS PGURHV      231-687-5897     5557
 BHCJNCKHMLS PGURHV      231-687-5897     6902
 BHHLTBFSEKQSRG KK       947-661-6696     5356
 BHHLTBFSEKQSRG KK       947-661-6696     4811
 BHHLTBFSEKQSRG KK       947-661-6696     1168
 BHHLTBFSEKQSRG KK       947-661-6696     1720
 BHHLTBFSEKQSRG KK       947-661-6696     6091
 BHHLTBFSEKQSRG KK       947-661-6696     4217
 BHHLTBFSEKQSRG KK       947-661-6696     6685
 BHHLTBFSEKQSRG KK       947-661-6696      473
 BHHLTBFSEKQSRG KK       947-661-6696     2976
 BHLHJAGMNF YILUEW       175-639-3072     1971
 BICNOQNINTAWSB BGCX     289-148-1028     6623
 BICNOQNINTAWSB BGCX     289-148-1028     4155
 BICNOQNINTAWSB BGCX     289-148-1028     6029
 BICNOQNINTAWSB BGCX     289-148-1028     3412
 BICNOQNINTAWSB BGCX     289-148-1028     2914
 BICNOQNINTAWSB BGCX     289-148-1028     2457
 BICNOQNINTAWSB BGCX     289-148-1028     1658
 BICNOQNINTAWSB BGCX     289-148-1028     1106
 BICNOQNINTAWSB BGCX     289-148-1028      411
 BICNOQNINTAWSB BGCX     289-148-1028     4749
 BICNOQNINTAWSB BGCX     289-148-1028     5294
 BJQHPSPYYKPD GRV        581-577-3952     3031
 BJQHPSPYYKPD GRV        581-577-3952     4368
 BJQHPSPYYKPD GRV        581-577-3952     2533
 BJQHPSPYYKPD GRV        581-577-3952     1277
 BJQHPSPYYKPD GRV        581-577-3952     7154
 BJQHPSPYYKPD GRV        581-577-3952     5443
 BJQHPSPYYKPD GRV        581-577-3952     4913
 BJQHPSPYYKPD GRV        581-577-3952     6788
 BJQHPSPYYKPD GRV        581-577-3952     3498
 BJQHPSPYYKPD GRV        581-577-3952     6242
 BJQHPSPYYKPD GRV        581-577-3952      725
 BJQHPSPYYKPD GRV        581-577-3952     2076
 BJQHPSPYYKPD GRV        581-577-3952     5648
 BJQHPSPYYKPD GRV        581-577-3952     7673
 BJQHPSPYYKPD GRV        581-577-3952     3774
 BJQHPSPYYKPD GRV        581-577-3952     7446
 BJQHPSPYYKPD GRV        581-577-3952       30
 BJTWLD XYGRQYYH         969-504-6478     3359
 BJTWLD XYGRQYYH         969-504-6478     5241
 BJTWLD XYGRQYYH         969-504-6478     1605
 BJTWLD XYGRQYYH         969-504-6478     2404
 BJTWLD XYGRQYYH         969-504-6478     6570
 BJTWLD XYGRQYYH         969-504-6478     4102
 BJTWLD XYGRQYYH         969-504-6478     1053
 BJTWLD XYGRQYYH         969-504-6478     7116
 BJTWLD XYGRQYYH         969-504-6478     4696
 BJTWLD XYGRQYYH         969-504-6478      358
 BJTWLD XYGRQYYH         969-504-6478     5976
 BJTWLD XYGRQYYH         969-504-6478     2861
 BLYIJNBMI YUMLJKM       676-658-6963     2016
 BMCDTUGWQLCR NQFDIFY    725-464-6392     7716
 BMCDTUGWQLCR NQFDIFY    725-464-6392     2119
 BMCDTUGWQLCR NQFDIFY    725-464-6392     3541
 BMCDTUGWQLCR NQFDIFY    725-464-6392      768
 BMCDTUGWQLCR NQFDIFY    725-464-6392     2576
 BMCDTUGWQLCR NQFDIFY    725-464-6392     6285
 BMCDTUGWQLCR NQFDIFY    725-464-6392     4411
 BMCDTUGWQLCR NQFDIFY    725-464-6392     1320
 BMCDTUGWQLCR NQFDIFY    725-464-6392     3817
 BMCDTUGWQLCR NQFDIFY    725-464-6392     7197
 BMCDTUGWQLCR NQFDIFY    725-464-6392     3074
 BMCDTUGWQLCR NQFDIFY    725-464-6392     6831
 BMCDTUGWQLCR NQFDIFY    725-464-6392     4956
 BMCDTUGWQLCR NQFDIFY    725-464-6392     7489
 BMCDTUGWQLCR NQFDIFY    725-464-6392       73
 BMCDTUGWQLCR NQFDIFY    725-464-6392     5691
 BMCDTUGWQLCR NQFDIFY    725-464-6392     5486
 BMND DWYXKVPQ           289-736-1855     2991
 BMND DWYXKVPQ           289-736-1855     4232
 BMND DWYXKVPQ           289-736-1855     4826
 BMND DWYXKVPQ           289-736-1855     1735
 BMND DWYXKVPQ           289-736-1855     5371
 BMND DWYXKVPQ           289-736-1855     6700
 BMND DWYXKVPQ           289-736-1855      488
 BMND DWYXKVPQ           289-736-1855     6106
 BMND DWYXKVPQ           289-736-1855     1183
 BNHISGECDOMT Y          436-150-8998     2424
 BNHISGECDOMT Y          436-150-8998     4716
 BNHISGECDOMT Y          436-150-8998     1625
 BNHISGECDOMT Y          436-150-8998     5996
 BNHISGECDOMT Y          436-150-8998     5261
 BNHISGECDOMT Y          436-150-8998     4122
 BNHISGECDOMT Y          436-150-8998     1073
 BNHISGECDOMT Y          436-150-8998     3379
 BNHISGECDOMT Y          436-150-8998      378
 BNHISGECDOMT Y          436-150-8998     2881
 BNHISGECDOMT Y          436-150-8998     6590
 BO F                    401-328-7929     1888
 BO F                    401-328-7929      641
 BPHJUYO BD              446-224-9432     1976
 BQB JHDBSPAF            189-819-1454     6392
 BQB JHDBSPAF            189-819-1454     5593
 BQB JHDBSPAF            189-819-1454     7596
 BQB JHDBSPAF            189-819-1454     2226
 BQB JHDBSPAF            189-819-1454     5063
 BQB JHDBSPAF            189-819-1454     5798
 BQB JHDBSPAF            189-819-1454     7823
 BQB JHDBSPAF            189-819-1454     2683
 BQB JHDBSPAF            189-819-1454     7304
